Feature,Importance
tenure,0.10210714619961457
TotalCharges,0.09666303597923244
MonthlyCharges,0.08166219261630323
InternetService_Fiber optic,0.028950839628732985
PaymentMethod_Electronic check,0.023853053173528736
Contract_Two year,0.023170665688728873
OnlineSecurity_Yes,0.02049551681121422
TechSupport_Yes,0.019001050705906634
PaperlessBilling_Yes,0.018043192758855846
Contract_One year,0.01738872591522154
gender_Male,0.015581638410768215
OnlineBackup_Yes,0.014341007937232482
Partner_Yes,0.014053946116723386
SeniorCitizen,0.013211301179437022
DeviceProtection_Yes,0.012885633152923959
